Quarter,Quarter_Num,Year,Bangalore,Chennai,Delhi,Jaipur,Kanpur,Kochi,Kolkata,Lucknow,Mumbai,All India
Q1,1,2010-11,98.64,102.73,100.72,95.31,91.74,89.61,77.88,88.82,90.63,94.23988417
Q2,2,2010-11,97.90,109.50,95.56,99.05,99.45,92.38,103.19,98.67,99.72,99.81103282
Q3,3,2010-11,97.94,94.65,92.11,103.57,103.69,113.85,106.62,104.75,100.88,99.40451374
Q4,4,2010-11,105.52,93.12,112.06,102.06,105.13,104.16,112.31,107.76,108.78,106.6322896
Q1,1,2011-12,110.68,101.16,126.82,106.27,104.68,120.87,103.03,118.00,122.09,115.9871609
Q2,2,2011-12,107.83,110.37,124.80,109.57,106.75,104.95,105.02,123.08,131.42,119.4354813
Q3,3,2011-12,138.60,110.74,136.74,108.26,108.54,103.05,103.16,131.94,122.79,125.4765955
Q4,4,2011-12,133.35,108.17,158.23,108.60,114.95,97.83,106.09,129.44,143.50,134.1009688
Q1,1,2012-13,133.33,119.21,177.30,113.38,114.41,98.82,135.21,136.35,147.60,142.6256843
Q2,2,2012-13,136.58,117.82,183.17,117.36,106.03,127.51,149.08,156.60,148.06,147.0956523
Q3,3,2012-13,141.18,137.55,200.70,118.93,92.83,136.45,162.51,169.25,158.95,156.9733926
Q4,4,2012-13,141.94,137.43,213.11,129.37,90.87,124.20,169.41,166.17,159.53,160.8405705
Q1,1,2013-14,142.27,138.26,214.79,129.37,82.37,127.03,171.81,173.92,159.98,162.2779137
Q2,2,2013-14,150.37,149.98,215.74,128.02,92.03,161.58,173.54,186.67,169.19,169.2351242
Q3,3,2013-14,169.26,174.28,211.07,127.30,81.63,189.36,168.19,203.55,166.50,172.8106134
Q4,4,2013-14,184.29,179.27,229.29,119.97,78.35,166.22,169.78,212.48,175.45,180.4928259
Q1,1,2014-15,180.40,179.20,241.70,120.60,99.40,166.90,194.00,223.30,183.21,188.0446157
Q2,2,2014-15,174.60,172.80,251.00,131.70,101.80,184.20,209.30,238.70,185.93,193.0490274
Q3,3,2014-15,183.08,187.34,273.21,143.58,106.97,180.94,210.77,243.37,188.02,202.0368026
Q4,4,2014-15,202.70,188.01,290.09,140.58,113.54,179.69,224.92,267.31,194.73,212.0986701
Q1,1,2015-16,208.42,186.04,296.47,132.68,104.29,172.64,231.10,259.77,203.45,215.3093498
Q2,2,2015-16,208.01,194.24,299.32,136.02,110.38,170.96,224.09,264.71,205.90,218.1850502
Q3,3,2015-16,205.92,202.69,300.01,136.06,115.14,184.63,224.09,282.45,208.93,221.7103201
Q4,4,2015-16,190.02,210.73,302.08,126.08,111.60,169.84,222.28,288.90,207.99,219.1375538
Q1,1,2016-17,220.61,230.57,305.71,126.81,113.00,199.74,234.86,302.56,219.20,231.0854513
Q2,2,2016-17,220.11,229.26,314.86,127.52,107.79,191.73,231.89,311.56,226.55,234.892419
Q3,3,2016-17,225.14,223.97,314.57,128.67,120.87,182.65,240.19,337.07,235.81,240.1649887
Q4,4,2016-17,218.35,208.93,312.61,129.44,130.82,208.22,242.35,335.79,243.88,242.0028214
Q1,1,2017-18,227.66,204.83,341.92,132.70,133.53,189.09,251.43,341.26,246.01,251.1982146
Q2,2,2017-18,221.00,213.29,335.35,144.52,144.69,227.44,248.19,344.37,254.69,252.3581088
Q3,3,2017-18,225.64,216.98,335.59,149.43,149.09,231.28,253.35,354.05,257.40,257.5106874
Q4,4,2017-18,232.93,227.16,324.32,159.19,152.35,257.13,254.68,362.23,257.28,258.2280194
Q1,1,2018-19,244.84,224.53,341.57,155.60,148.68,266.96,254.49,360.59,264.23,264.5761646
Q2,2,2018-19,245.79,238.47,342.09,157.63,140.32,274.69,255.94,369.99,263.95,266.7355786
Q3,3,2018-19,243.25,246.95,346.66,152.76,154.92,297.98,261.97,386.28,266.04,270.7193062
Q4,4,2018-19,256.15,255.25,328.58,141.00,150.09,307.33,265.55,370.35,261.44,267.5539206
Q1,1,2019-20,265.98,256.64,342.84,161.50,164.86,287.67,266.50,370.69,260.55,273.6795371
Q2,2,2019-20,273.58,257.07,333.10,177.34,166.00,278.99,275.11,371.85,265.00,275.4095679
Q3,3,2019-20,283.80,280.90,329.37,175.55,171.40,280.60,266.55,392.00,256.76,278.7710078
Q4,4,2019-20,273.84,281.50,325.70,172.81,172.50,264.97,272.40,395.50,264.42,278.0788164
Q1,1,2020-21,308.76,275.21,319.78,172.62,170.39,271.52,270.92,396.24,262.99,281.4333374
Q2,2,2020-21,297.72,262.76,314.87,172.60,171.14,270.13,268.11,397.50,263.01,278.4532298
Q3,3,2020-21,319.13,278.83,329.37,170.98,170.53,258.91,280.04,398.10,261.32,284.8848948
Q4,4,2020-21,316.78,279.30,323.22,166.67,171.30,286.22,276.79,398.40,266.51,285.4727796
Q1,1,2021-22,333.74,261.20,314.97,167.15,169.20,287.32,283.95,394.90,265.89,286.9814584
Q2,2,2021-22,313.17,268.74,299.32,181.16,171.05,297.22,278.67,395.54,279.80,285.0829384
Q3,3,2021-22,315.92,267.50,327.74,188.53,170.23,310.14,288.54,397.20,285.98,293.7920806
Q4,4,2021-22,281.01,277.04,326.17,186.97,171.99,307.44,329.91,396.83,281.30,290.5953725
Q1,1,2022-23,320.35,280.18,311.96,175.61,173.26,326.35,329.32,397.98,284.86,296.609114
Q2,2,2022-23,324.48,273.41,324.16,173.80,174.90,330.30,302.10,411.36,288.14,298.0295384
Q3,3,2022-23,331.08,275.26,336.79,171.63,176.07,332.29,296.42,400.95,292.87,302.0381144
Q4,4,2022-23,326.85,280.59,347.88,171.13,178.82,333.39,303.02,414.85,293.30,303.9144295
Q1,1,2023-24,336.44,285.79,358.31,171.72,177.67,327.45,307.49,415.82,306.44,311.8843083
Q2,2,2023-24,331.08,291.11,339.16,173.38,184.87,330.32,320.65,425.78,294.92,308.5959417
Q3,3,2023-24,352.06,298.41,340.61,172.86,179.88,334.41,319.09,413.34,298.79,313.5477758
