country,country_code,year,newborns_total,DTP,POLIO,MEASLES,HI_B,RUBELLA,ROTAVIRUS,HEP_B
India,IND,1981,23617764,1313869.9,437956.62,,,,,
India,IND,1982,24012074,2691502.5,1794335.0,,,,,
India,IND,1983,24416892,3197817.0,2284155.0,,,,,
India,IND,1984,24877958,3722078.8,2791559.0,,,,,
India,IND,1985,25262632,4272595.5,3323130.0,237366.42,,,,
India,IND,1986,25650160,4827398.5,3861918.8,2413699.2,,,,
India,IND,1987,25925492,7362054.0,6625848.5,5889643.0,,,,
India,IND,1988,26061034,9934518.0,9189430.0,7947614.5,,,,
India,IND,1989,26244504,12499435.0,13749379.0,10499525.0,,,,
India,IND,1990,26352270,17645228.0,16636930.0,14116183.0,,,,
India,IND,1991,26465542,14443866.0,14697267.0,10896250.0,,,,
India,IND,1992,26599184,14267824.0,14267824.0,12993912.0,,,,
India,IND,1993,26675918,15638746.0,15638746.0,15126000.0,,,,
India,IND,1994,26785374,17244178.0,17244178.0,17244178.0,,,,
India,IND,1995,26929546,18369318.0,18369318.0,18628042.0,,,,
India,IND,1996,27025566,17190792.0,17451258.0,17190792.0,,,,
India,IND,1997,27097218,16229730.0,16491500.0,14397341.0,,,,
India,IND,1998,27182494,16033508.0,15770664.0,13930753.0,,,,
India,IND,1999,27281604,15578439.0,15050356.0,14786315.0,,,,
India,IND,2000,27503792,15391553.0,15126181.0,14860810.0,,,,
India,IND,2001,27798782,15806494.0,15538587.0,15270681.0,,,,
India,IND,2002,27843244,15995471.0,15724361.0,15182142.0,,,,
India,IND,2003,27623644,16586654.0,15499005.0,16314742.0,,,,
India,IND,2004,27379292,17024148.0,15673026.0,17294374.0,,,,1621347.5
India,IND,2005,27061118,17434064.0,17434064.0,18238712.0,,,,2145731.0
India,IND,2006,26664326,17256056.0,17521534.0,18317968.0,,,,1592866.8
India,IND,2007,26335410,16764182.0,17550002.0,18335824.0,,,,1571642.0
India,IND,2008,26149244,18130326.0,17871322.0,18648336.0,,,,7511135.0
India,IND,2009,26151082,19058646.0,18801096.0,20088842.0,,,,9529323.0
India,IND,2010,26058944,20377640.0,19603806.0,21151476.0,,,,9801903.0
India,IND,2011,25838236,21101248.0,20329252.0,21615914.0,,,,11322621.0
India,IND,2012,25648870,20944030.0,20177784.0,21199444.0,,,,18645296.0
India,IND,2013,25355094,21065138.0,20811340.0,21065138.0,5075937.0,,,17765778.0
India,IND,2014,24722340,21344942.0,21093824.0,21344942.0,5022339.0,,,19838240.0
India,IND,2015,24342840,21317028.0,21072004.0,21317028.0,11026048.0,,,21317028.0
India,IND,2016,24455540,21249276.0,20766338.0,21249276.0,19317524.0,,965876.2,21249276.0
India,IND,2017,24160664,21607638.0,21607638.0,21850422.0,21607638.0,1456694.8,3156172.0,21607638.0
India,IND,2018,23901006,21596060.0,21596060.0,22315928.0,21596060.0,22315928.0,8398468.0,21596060.0
India,IND,2019,23757788,21608798.0,21371338.0,22558636.0,21608798.0,22558636.0,12585344.0,21608798.0
India,IND,2020,23235718,20075912.0,20075912.0,21020660.0,20075912.0,21020660.0,19367350.0,20075912.0
India,IND,2021,22874418,19647080.0,19647080.0,20571648.0,19647080.0,20571648.0,19184796.0,19647080.0
India,IND,2022,22790964,21162300.0,21162300.0,21617404.0,21162300.0,21617404.0,20934750.0,21162300.0
India,IND,2023,22759022,20635254.0,20635254.0,21088776.0,20635254.0,21088776.0,20408494.0,20635254.0
